id,langLinksCount
422323,9
693018,6
48571,31
1969218,27
28643611,14
25752436,13
31078356,6
1299930,27
11193991,20
20031091,15
1139725,1
4567536,4
18864191,1
4468060,3
8672776,4
40598189,0
43239543,1
18829015,6
6866387,13
25566987,4
9559286,10
483836,12
175847,45
26567636,1
393302,13
21141589,8
1624,83
544577,11
10096485,2
29079065,2
8029,8
362987,26
33201414,2
11879599,4
165329,39
7466264,11
2108091,6
619750,12
118372,53
50072,20
4001434,9
44667,56
15715762,2
3184095,5
44812438,9
179516,12
573888,49
2108020,7
26428484,4
20874221,4
418902,21
15398727,7
88383,13
2488658,30
903203,19
2380593,4
7766419,81
45083774,1
3136619,7
6182858,3
475452,11
5342188,12
41957579,1
1225919,5
7950296,4
16972981,94
23325915,13
2134878,19
437326,14
41735520,3
1210990,10
952246,5
32465843,0
29172960,6
27723127,8
46688,61
7426,67
16975609,6
2168853,8
1118396,16
36253615,1
30707567,4
145817,9
485394,8
4179247,3
26403306,1
273808,0
12777983,14
8580,64
13222024,6
7586083,13
8592,64
36034784,0
48596,58
16029555,2
3620613,16
18835362,66
10245,61
43483082,4
5960468,6
48951,46
266617,32
2937699,1
60004,49
38424193,5
11772,37
37836222,1
46710,10
2376404,7
30321125,8
16805114,7
234997,3
51106,20
9831608,4
22750311,2
40359903,3
19729467,84
1783947,5
15363621,10
7237943,11
24705615,4
4164310,2
42029,61
46389,56
14049029,17
22378121,3
46755,70
5030380,87
42773463,2
156068,46
44926841,1
703940,9
37502324,2
990790,4
965178,12
17843881,2
684997,15
329612,12
447499,6
488525,8
485396,14
1967320,12
44510281,0
485336,12
491766,35
439139,20
485341,9
16051292,3
554587,11
300667,17
1168437,13
184399,23
43460,82
39038,16
3418303,87
39024575,6
3100262,2
29359054,4
22884586,0
3722148,3
43154197,0
46591,56
14179,57
21728279,2
1888300,15
